date,supplier,category,subcategory,amount,currency,description,invoice_number,po_number,payment_status,project_id,project_name,cost_code,payment_terms,approver
2025-01-24,EcoGlass Solutions,Building Envelope,Glazing Systems,114800.00,USD,High-performance curtain wall system for south facade,INV-EGS-000189,PO-2025-0220,Pending,PRJ-2025-002,Community Health Center,3004-6325,Net 30,Thomas Wilson
2025-01-27,Precision Electrical Contractors,MEP Systems,Electrical Equipment,76500.00,USD,Electrical distribution and emergency power systems,INV-PEC-002583,PO-2025-0228,Pending,PRJ-2025-002,Community Health Center,2002-6185,Net 30,Sarah Jones
2025-02-01,Stone Source Quarries,Site Work,Paving & Hardscape,42800.00,USD,Decorative concrete paving for entrance plaza,INV-SSQ-001799,PO-2025-0235,Pending,PRJ-2025-002,Community Health Center,5004-6650,Net 30,David Chen
2025-02-04,Superior Concrete Solutions,Structural Materials,Concrete Products,112700.00,USD,Concrete for elevator core and shear walls,INV-SCS-006012,PO-2025-0240,Pending,PRJ-2025-002,Community Health Center,1002-5584,Net 30,Robert Davis
2025-01-07,FastTrack Modular Systems,Prefabricated Components,Modular Construction,1250000.00,USD,Prefabricated apartment modules - 20 units,INV-FTM-001450,PO-2025-0175,Paid,PRJ-2025-003,Riverside Apartments,9001-9100,Net 30,Michael Chen
2025-01-16,ProConcrete Pumping,Site Work,Excavation & Grading,18500.00,USD,Concrete pumping for podium slab,INV-PCP-000695,PO-2025-0182,Paid,PRJ-2025-003,Riverside Apartments,5001-6624,Net 15,David Chen
2025-01-21,BuildTech Systems,MEP Systems,HVAC Equipment,235600.00,USD,Rooftop HVAC units and ductwork for apartment building,INV-BTS-003275,PO-2025-0188,Paid,PRJ-2025-003,Riverside Apartments,2001-6180,Net 30,Sarah Jones
2025-01-26,MetalTech Fabricators,Building Envelope,Exterior Cladding,187500.00,USD,Metal panel rainscreen system for facade,INV-MTF-002246,PO-2025-0195,Pending,PRJ-2025-003,Riverside Apartments,3002-6315,Net 45,Jennifer Wilson
2025-01-29,GreenBuild Materials,Building Envelope,Insulation,92400.00,USD,High-performance spray foam insulation system,INV-GBM-000924,PO-2025-0202,Pending,PRJ-2025-003,Riverside Apartments,3003-6320,Net 30,Michael Thompson
2025-02-02,Precision Electrical Contractors,MEP Systems,Electrical Equipment,156700.00,USD,Electrical distribution and apartment unit wiring,INV-PEC-002625,PO-2025-0210,Pending,PRJ-2025-003,Riverside Apartments,2002-6185,Net 30,Sarah Jones
